baseline,baseline,baseline,baseline,baseline,setInterval100,setInterval100,setInterval100,setInterval100,setInterval100,setInterval1000,setInterval1000,setInterval1000,setInterval1000,setInterval1000,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,iterative_error_50,iterative_error_50,iterative_error_50,iterative_error_50,iterative_error_50,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
6.5509,38.0194,100,0.440543,6,4.5225,38.2031,1.04,0.0649792,6,4.45586,38.6194,0.16,0.0633595,6,5.33773,38.1828,1.17143,0.0742487,7,4.74619,38.3777,1.16,0.0763212,6,4.55363,38.3362,1.07429,0.075792,6,
5.3811,48.1189,100,0.363949,5,4.03006,48.1458,1.04,0.0782822,5,4.18824,48.154,0.16,0.0776938,5,4.2418,48.1485,1.04,0.0922298,5,5.76559,48.1255,1.04571,0.11148,5,6.02128,48.1314,0.245714,0.111083,5,
8.49149,69.24,100,0.586497,5,6.36595,69.2279,1.04,0.114679,5,7.4916,69.5366,0.16,0.111645,6,3.98529,69.3458,1.06286,0.079521,5,3.46051,69.3923,1.08571,0.0686096,5,3.46202,68.9582,0.611429,0.0644486,5,
5.96927,17.9723,100,0.367516,6,4.72683,17.8292,1.04,0.0619454,7,3.3664,18.4985,0.16,0.0576916,5,4.90194,17.7949,1.61714,0.0732414,7,5.56965,18.1133,1.65143,0.0679518,8,3.56442,19.3059,1.12,0.07146,5,
5.48788,31.0902,100,0.415943,5,5.27879,30.4945,1.04,0.0712416,7,3.71741,33.5363,0.16,0.06226,5,3.78336,32.0153,1.09143,0.077168,5,4.50919,29.8173,1.10286,0.0747338,6,5.95369,30.2892,0.554286,0.0683851,8,
5.71212,3.55736,100,0.325062,6,4.17074,3.51999,1.04,0.0616077,6,4.21616,3.57231,0.16,0.0581223,6,4.06847,3.57799,1.06286,0.0675677,6,4.23558,3.54396,1.06286,0.0681547,6,4.05981,3.56719,0.228571,0.0597948,6,
6.1105,34.3026,100,0.370024,6,5.57725,28.9016,1.04,0.0657006,8,3.56327,41.8058,0.16,0.0615148,5,6.35981,26.0395,1.36,0.0719184,9,6.91087,26.5514,1.34286,0.0681004,10,7.06273,26.0106,1.59429,0.0754185,10,
12.0633,71.9515,100,0.55665,9,7.84936,64.6363,1.04,0.104248,7,8.69354,64.5716,0.16,0.108891,7,10.2908,63.2003,1.34286,0.132551,8,10.1451,64.7105,1.32,0.127484,8,3.99457,154.886,1.08571,0.133901,4,
5.71191,15.0988,100,0.332064,6,4.18798,15.0383,1.04,0.0699797,6,4.04712,15.0502,0.16,0.0568498,6,4.11135,15.0406,1.08,0.0704388,6,4.17891,15.0641,1.10857,0.0663967,6,4.21809,15.0492,0.588571,0.0643687,6,
4.73745,22.3431,100,0.31209,5,3.47391,22.4124,1.04,0.0617978,5,3.45898,22.9586,0.16,0.062801,5,3.48905,22.5016,1.05714,0.0702024,5,3.53205,22.4109,1.05714,0.0658882,5,3.50877,22.3858,0.662857,0.0675836,5,
6.0771,3.60603,100,0.361031,6,4.26587,3.6066,1.04,0.0654643,6,4.2657,3.60864,0.16,0.0694283,6,4.29736,3.6071,1.04571,0.0706015,6,4.0978,3.60661,1.04571,0.0638688,6,3.98323,3.60807,0.165714,0.057136,6,
5.13345,26.4221,100,0.376862,5,3.53947,26.5144,1.04,0.0685706,5,3.52291,27.6342,0.16,0.0646568,5,4.40888,27.1827,1.09714,0.074995,6,3.70572,26.7044,1.09143,0.0727628,5,3.60492,26.8029,0.497143,0.067534,5,
6.73825,44.5034,100,0.34201,7,4.31396,44.3278,1.04,0.0671665,6,5.63771,45.3323,0.16,0.0611055,8,4.88025,44.9152,1.38857,0.0714857,7,4.834,44.1497,1.34286,0.0685303,7,6.74296,43.9767,1.22286,0.0916637,8,
8.53216,47.3504,100,0.592897,6,6.46237,49.123,1.04,0.10357,6,6.27808,57.9207,0.16,0.111281,5,10.5301,47.2162,1.44,0.138548,8,9.16041,47.5646,1.30286,0.126086,7,6.07805,49.0575,0.6,0.102547,6,
4.9376,66.299,100,0.350243,5,3.54767,66.3148,1.04,0.0655604,5,3.54733,66.5029,0.16,0.0682832,5,3.58971,66.3147,1.05143,0.0729584,5,3.60753,66.3162,1.06857,0.0726638,5,3.54862,66.2969,0.382857,0.06245,5,
5.26203,40.3729,100,0.410911,5,3.46359,43.7859,1.04,0.063694,5,3.40329,62.004,0.16,0.0581232,5,5.69269,41.2946,1.15429,0.0711195,8,4.19628,41.9527,1.18286,0.0701158,6,3.36035,40.7292,0.988571,0.0696754,5,
5.17544,9.85005,100,0.380012,5,3.63624,9.93412,1.04,0.0621892,5,3.60393,9.71479,0.16,0.065126,5,4.35844,9.28247,1.21714,0.072598,6,3.60963,9.89895,1.16,0.0659614,5,5.1271,9.25477,0.445714,0.066912,7,
4.8593,45.6051,100,0.332971,5,3.45133,45.6056,1.04,0.0611176,5,3.46345,45.5593,0.16,0.0590594,5,3.55926,45.6056,1.04,0.0764976,5,3.5345,45.6056,1.04,0.0648132,5,3.34957,45.5584,0.245714,0.059087,5,
9.01856,30.5694,100,0.370323,9,4.25528,33.4955,1.04,0.062096,6,4.33133,33.3276,0.16,0.0619567,6,6.19274,31.0286,1.25714,0.0759489,8,6.18447,32.3956,1.21714,0.0946169,7,4.30087,34.0557,0.88,0.0928226,5,
7.96001,98.0572,100,0.613697,5,6.47196,99.1737,1.04,0.116978,5,6.55076,101.019,0.16,0.119077,5,6.61259,98.83,1.11429,0.130112,5,6.51883,99.2137,1.09143,0.123448,5,6.08184,99.3658,1.03429,0.127198,5,
5.79424,10.9463,100,0.334857,6,4.19531,10.9474,1.04,0.0630902,6,4.81867,10.957,0.16,0.0576041,7,4.2175,10.9473,1.04,0.0707112,6,4.2066,10.9473,1.05143,0.0693132,6,4.17088,10.9694,0.325714,0.0600697,6,
4.90613,33.0121,100,0.344004,5,4.10489,32.5892,1.04,0.0614788,6,4.88424,31.8778,0.16,0.0581137,7,4.20835,32.597,1.05143,0.0684073,6,4.31791,32.5662,1.05714,0.068001,6,3.53663,32.9468,0.388571,0.0613162,5,
6.91386,15.365,100,0.369898,7,4.82689,15.4535,1.04,0.0663553,7,4.90277,15.661,0.16,0.0597226,7,4.7919,15.3913,1.25714,0.0697473,7,3.59249,17.6146,1.12571,0.0681108,5,5.72295,15.0623,1.18857,0.0731481,8,
5.37842,58.7961,100,0.410549,5,6.569,54.0739,1.04,0.0632449,9,5.84221,53.6256,0.16,0.0646835,8,4.48006,58.7354,1.22857,0.0745122,6,4.45064,58.1295,1.22286,0.0693335,6,4.39371,56.9799,1.05143,0.0719888,6,
6.19417,3.2158,100,0.360589,6,4.41322,3.21751,1.04,0.0672718,6,4.66255,3.22056,0.16,0.0709237,6,5.32361,3.21754,1.04,0.0995418,6,5.29128,3.21754,1.04571,0.0813995,6,5.15677,3.22088,0.165714,0.080406,6,
10.0842,8.88901,100,0.553307,6,7.47781,8.92674,1.04,0.113702,6,7.46818,8.96429,0.16,0.109132,6,7.69651,8.90251,1.05714,0.132169,6,4.9898,8.86979,1.06286,0.0860843,6,4.17862,8.97442,0.297143,0.0613743,6,
5.73664,31.9095,100,0.340309,6,3.34851,32.6597,1.04,0.059752,5,3.41702,41.1484,0.16,0.0578946,5,3.37513,32.7292,1.08571,0.0664526,5,3.4359,32.5154,1.08,0.064666,5,4.12572,32.147,0.502857,0.0640365,6,
5.29462,53.9103,100,0.409151,5,3.63767,54.6246,1.04,0.0683632,5,4.27477,66.5605,0.16,0.0601313,6,3.72524,55.6147,1.22286,0.0740542,5,4.25886,53.6901,1.26286,0.0725342,6,3.58901,54.1796,1.02286,0.0712894,5,
5.92915,17.1836,100,0.347096,6,4.19738,17.132,1.04,0.061773,6,4.80821,18.0372,0.16,0.0589844,7,4.25042,17.1236,1.16,0.0711988,6,4.0993,17.1841,1.22286,0.0681547,6,4.13442,17.1204,1.16,0.070617,6,
5.05579,53.9289,100,0.37484,5,3.56028,54.9251,1.04,0.0616596,5,3.70353,54.8798,0.16,0.06349,5,3.68782,54.9252,1.05143,0.0704886,5,3.58604,54.9731,1.07429,0.0718904,5,3.61911,55.3489,0.434286,0.0637044,5,
4.95679,119.89,100,0.35148,5,3.54275,119.954,1.04,0.0636822,5,3.62268,120.185,0.16,0.0651768,5,3.69097,119.955,1.04,0.0692078,5,4.30665,119.954,1.05143,0.0823124,5,4.20759,120.138,0.36,0.0792828,5,
11.2628,65.7269,100,0.51919,8,11.1544,65.3894,1.04,0.114708,9,9.83165,65.9185,0.16,0.109093,8,11.0809,65.2743,1.34857,0.132273,9,7.58097,65.3973,1.33714,0.0784588,10,6.98861,65.306,1.24571,0.0734716,10,
11.6548,12.8361,100,0.404858,11,5.76088,13.0062,1.04,0.0659775,8,7.16977,13.1671,0.16,0.0594977,10,6.49483,13.2703,1.45143,0.072088,9,6.40037,13.3437,1.50857,0.0694276,9,7.12089,12.7815,0.617143,0.0658566,10,
4.91075,36.2653,100,0.339787,5,3.53209,36.2676,1.04,0.0618134,5,3.47302,36.253,0.16,0.0607484,5,3.56734,36.2677,1.04,0.0710274,5,3.65481,36.2677,1.04571,0.0680406,5,3.61387,36.2622,0.205714,0.0603964,5,
6.37586,25.5336,100,0.390971,6,4.4517,25.304,1.04,0.0682343,6,4.36588,25.3247,0.16,0.0603748,6,4.35953,25.304,1.05143,0.068204,6,4.5249,25.3574,1.09143,0.0721588,6,4.30331,25.2179,0.605714,0.0707038,6,
