baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI20,SI20,SI20,SI20,SI20,SI1000,SI1000,SI1000,SI1000,SI1000,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,IE_15,IE_15,IE_15,IE_15,IE_15,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
3053.25,0.899888,100,266.425,8,1088.86,0.919238,20.0357,58.1743,6,826.377,0.919249,5.03571,19.7763,6,488.943,0.866033,0.142857,10.8655,4,743.399,0.91925,2.04252,10.1593,6,727.12,0.919238,1.14116,9.52767,6,
1639.46,0.314102,100,294.318,4,751.879,0.301858,20.0357,70.1378,4,528.913,0.325622,5.03571,20.6353,4,494.108,0.350068,0.142857,6.392,4,491.755,0.292838,2.13393,11.3372,4,546.899,0.314169,3.22194,26.304,4,
1715.71,0.923016,100,174.774,6,953.747,0.923031,20.0357,42.7707,6,788.747,0.923031,5.03571,16.4767,6,724.922,0.92303,0.142857,4.355,6,692.699,0.923029,2.03571,6.64267,6,680.811,0.923029,0.836735,6.7445,6,
2804.03,0.61111,100,288.584,7,1163.4,0.637083,20.0357,57.8231,7,646.232,0.59277,5.03571,21.716,5,371.81,0.511291,0.142857,3.44033,3,887.732,0.647274,2.38411,14.3713,7,1136.69,0.649805,3.2449,24.9951,8,
1971.66,0.915845,100,191.513,6,1079.06,0.915843,20.0357,41.9393,6,896.211,0.915842,5.03571,13.3898,6,827.153,0.915842,0.142857,5.55217,6,821.346,0.915842,2.03571,6.51867,6,789.822,0.915842,0.515306,5.30483,6,
1481.68,0.918623,100,143.771,6,770.957,0.918623,20.0357,31.825,6,691.273,0.918623,5.03571,11.9692,6,601.239,0.918623,0.142857,3.8295,6,588.231,0.918622,2.03656,5.413,6,599.672,0.918623,0.705782,5.21467,6,
1597,0.91778,100,162.808,6,873.329,0.917794,20.0357,38.0485,6,713.416,0.917815,5.03571,13.1587,6,446.249,0.763733,0.142857,3.3606,5,662.458,0.917823,2.04167,6.68817,6,628.155,0.917799,0.892857,6.2765,6,
1820.57,0.91259,100,182.992,6,1087.66,0.912453,20.0357,39.4303,7,861.902,0.909828,5.03571,11.0709,7,435.925,0.7041,0.142857,3.0815,4,728.067,0.911893,2.14201,9.66383,6,644.294,0.91188,0.867347,6.613,5,
1607.74,0.916426,100,155.771,6,901.513,0.916426,20.0357,36.0073,6,762.257,0.916426,5.03571,12.5858,6,698.008,0.916426,0.142857,3.39033,6,719.296,0.916426,2.03656,5.8,6,703.56,0.916426,0.608844,5.39617,6,
1333.58,0.916933,100,157.255,5,724.843,0.916933,20.0357,33.8468,5,620.256,0.916933,5.03571,11.3896,5,577.289,0.916933,0.142857,4.7404,5,588.946,0.916933,2.03571,5.9936,5,526.022,0.916933,0.657143,4.5254,5,
1531.81,0.914892,100,150.226,6,857.321,0.914892,20.0357,34.4247,6,760.104,0.914892,5.03571,14.485,6,666.942,0.914892,0.142857,3.23333,6,648.957,0.914892,2.03656,5.89067,6,584.974,0.914892,0.530612,4.017,6,
1695.78,0.922924,100,169.858,6,915.937,0.922933,20.0357,38.1075,6,652.212,0.922902,5.03571,13.3356,5,603.283,0.922903,0.142857,4.8272,5,574.68,0.922902,2.03571,6.961,5,660.778,0.922933,0.768707,6.22133,6,
1721.72,0.912913,100,168.64,6,978.999,0.912913,20.0357,38.9335,6,757.876,0.912913,5.03571,11.062,6,767.788,0.912914,0.142857,2.89483,6,734.53,0.912913,2.03571,6.77317,6,771.601,0.912913,0.530612,5.85217,6,
1783.96,0.910203,100,175.99,6,934.298,0.910203,20.0357,37.984,6,807.321,0.910203,5.03571,12.6455,6,705.136,0.910203,0.142857,3.39167,6,720.74,0.910203,2.03656,6.3715,6,738.409,0.910203,0.583333,4.52467,6,
